Church,District Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukondomi,Buhera South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murambinda Central,Buhera South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murambinda East,Buhera South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murambinda South,Buhera South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musharu,Buhera South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Buhera South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutendamambo,Buhera South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutezo,Buhera South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nechavava,Buhera South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandanyenje,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chakuma,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiduku,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungayi,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gomo,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurure,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeso,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashiri,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandizha,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manzvii,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matanhire,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mavhudzi,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt Moriah,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt Zion,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudyanadzo,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukamba,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mupeti,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushava,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutungwazi,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nharire,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyazura Centre,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyazura East,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyazura North,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rukweza,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruwani,Chiduku North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikobvore,Chiduku South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikombe,Chiduku South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
